,0,1,2
37,rn3bnr/p3k3/2ppppp1/pb6/3P2p1/q3PP2/N2B1K1P/4R1QR w - - 0 20,[],-1
38,rn3bnr/p3k3/2ppppp1/pb6/3P2p1/q3PP2/N2B1K1P/R5QR b - - 1 20,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",-1
39,rn3bnr/p3k3/2ppppp1/p7/3P2p1/q3PP2/N2BbK1P/R5QR w - - 2 21,[],-1
40,rn3bnr/p3k3/2ppppp1/p7/3P2p1/q3PP2/N2BbK1P/R1Q4R b - - 3 21,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",-1
41,rn3bn1/p3k3/2ppppp1/p7/3P2p1/q3PP1r/N2BbK1P/R1Q4R w - - 4 22,[],-1
42,rn3bn1/p3k3/2ppppp1/p7/3P2p1/q3PP1r/N2BK2P/R1Q4R b - - 0 22,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",-1
43,rn3bn1/p3k3/2ppppp1/p7/3P2p1/q3PPr1/N2BK2P/R1Q4R w - - 1 23,[],-1
44,rn3bn1/p3k3/2ppppp1/p7/3P2p1/q3PPr1/N2B3P/R1Q2K1R b - - 2 23,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",-1
45,rn3bn1/p3k3/2ppppp1/p7/3P2p1/4PPr1/q2B3P/R1Q2K1R w - - 0 24,[],-1
46,rn3bn1/p3k3/2ppppp1/p7/3P2pP/4PPr1/q2B4/R1Q2K1R b - h3 0 24,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",-1
